Alpes;alpes;3;france3alpes
Alsace;alsace;4;france3alsace
Aquitaine;aquitaine;6;france3aquitaine
Auvergne;auvergne;7;france3auvergne
Basse-Normandie;basse-normandie;9;france3bassenormandie
Bourgogne;bourgogne;10;france3bourgogne
Bretagne;bretagne;11;france3bretagne
Centre-Val de Loire;centre;12;france3centre
Champagne-Ardenne;champagne-ardenne;16;france3champagneardenne
Corse Via Stella;corse;19;france3corse
Côte d'Azur;cote-d-azur;21;france3cotedazur
Franche-Comté;franche-comte;28;france3franchecomt
Haute-Normandie;haute-normandie;30;france3hautenormandie
Languedoc-Roussillon;languedoc-roussillon;39;france3languedocroussillon
Limousin;limousin;45;france3limousin
Lorraine;lorraine;47;france3lorraine
Midi-Pyrénées;midi-pyrenees;51;france3midipyrennees
Nord Pas-de-Calais;nord-pas-de-calais;52;france3nordpasdecalais
Paris-Ile-de-France;paris-ile-de-france;53;france3iledefrance
Pays de la Loire;pays-de-la-loire;54;france3paysdelaloire
Picardie;picardie;55;france3picardie
Poitou-Charentes;poitou-charentes;59;france3poitoucharentes
Provence-Alpes;provence-alpes;61;france3provencealpes
Rhône-Alpes;rhone-alpes;66;france3rhonealpes